link,had_collected
https://www.youtube.com/watch?v=lBYC4_Lccjw,0
https://www.youtube.com/watch?v=gL6iSCSHjco,0
https://www.youtube.com/watch?v=UQtltNZ_pjs,0
https://www.youtube.com/watch?v=0DaMUhgcAqo,0
https://www.youtube.com/watch?v=TOcGSwJBPMQ,0
https://www.youtube.com/watch?v=ws694xrKopA,0
https://www.youtube.com/watch?v=UtnsWzaoRtg,0
https://www.youtube.com/watch?v=6wsFjjhZPJI,0
https://www.youtube.com/watch?v=Rmf6T_Ewt38,0
https://www.youtube.com/watch?v=n6qc4LHN2KQ,0
https://www.youtube.com/watch?v=2eFSU7TFOnk,0
https://www.youtube.com/watch?v=RCvnytndd9c,0
https://www.youtube.com/watch?v=AA-VpIj8F5Y,0
https://www.youtube.com/watch?v=fWcSBWadolA,0
https://www.youtube.com/watch?v=YyhKdOCwD7s,0
https://www.youtube.com/watch?v=ha4tRQwKIUg,0
https://www.youtube.com/watch?v=xRwy_rKc7gI,0
https://www.youtube.com/watch?v=H1WBdh56Vq4,0
https://www.youtube.com/watch?v=xhIYirjB4Yc,0
https://www.youtube.com/watch?v=HfJMs4mrSJM,0
https://www.youtube.com/watch?v=tYHTVjfShOA,0
https://www.youtube.com/watch?v=JTQcIR2ZxU4,0
https://www.youtube.com/watch?v=xpNeg0hPZIs,0
https://www.youtube.com/watch?v=9yrdFAJUSaU,0
https://www.youtube.com/watch?v=i2O6GMpNWGo,0
https://www.youtube.com/watch?v=Y6jC6VaO3j0,0
https://www.youtube.com/watch?v=Ooke4YZv8Ts,0
https://www.youtube.com/watch?v=ZV7rU6lnAKQ,0
https://www.youtube.com/watch?v=iUzi5JmJNWc,0
https://www.youtube.com/watch?v=9cCpZl8euLI,0
https://www.youtube.com/watch?v=I046_n20d3s,0
https://www.youtube.com/watch?v=2nd73lyvq4w,0
https://www.youtube.com/watch?v=nuM0Z4a7kMs,0
https://www.youtube.com/watch?v=qPBtTPJHS0Q,0
https://www.youtube.com/watch?v=A-vX1AGBGsc,0
https://www.youtube.com/watch?v=IiW2smvEcBM,0
https://www.youtube.com/watch?v=q6Qw8mUVTrE,0
https://www.youtube.com/watch?v=dBxOYE2j55U,0
https://www.youtube.com/watch?v=984NGLLYDUg,0
https://www.youtube.com/watch?v=7zi0bi-RDj4,0
https://www.youtube.com/watch?v=XaxhLbxZ13k,0
https://www.youtube.com/watch?v=L8nh1wuXTbI,0
https://www.youtube.com/watch?v=9-HphHIJS9c,0
https://www.youtube.com/watch?v=rPXmbM2UEbU,0
https://www.youtube.com/watch?v=sESRuTyfsEk,0
https://www.youtube.com/watch?v=QapO3maXd9k,0
https://www.youtube.com/watch?v=71VpdDb8e6U,0
https://www.youtube.com/watch?v=Su34c5Z8DW4,0
https://www.youtube.com/watch?v=e5DqdX-7_g4,0
https://www.youtube.com/watch?v=9vB-48kHbBU,0
https://www.youtube.com/watch?v=3ix_gbcubTo,0
https://www.youtube.com/watch?v=mGIpOtncmSM,0
https://www.youtube.com/watch?v=VqnQ-0q2gb4,0
https://www.youtube.com/watch?v=3TflpIllQHY,0
https://www.youtube.com/watch?v=1SwVSTKFCsc,0
https://www.youtube.com/watch?v=ZPuEUe_8SRM,0
https://www.youtube.com/watch?v=gKVZz4kcuns,0
https://www.youtube.com/watch?v=xBP9EUQIkNs,0
https://www.youtube.com/watch?v=qZNxvnQv0h4,0
https://www.youtube.com/watch?v=uE6gud1voDs,0
https://www.youtube.com/watch?v=f0M64XpmTz8,0
https://www.youtube.com/watch?v=Gz3yak1cl-8,0
https://www.youtube.com/watch?v=9GD6hbqu2oM,0
https://www.youtube.com/watch?v=GUWGsIVEMSQ,0
https://www.youtube.com/watch?v=wDqJZ_2ZA3A,0
https://www.youtube.com/watch?v=RywkkwO78m8,0
https://www.youtube.com/watch?v=P4qWhSZ7_WA,0
https://www.youtube.com/watch?v=UlUcwJc5nBs,0
https://www.youtube.com/watch?v=qAW6CE7_bFM,0
https://www.youtube.com/watch?v=tBEBc4KQVsU,0
https://www.youtube.com/watch?v=q0OK-zHnvnA,0
https://www.youtube.com/watch?v=bFZdU9dr4OM,0
https://www.youtube.com/watch?v=nd-bwvNB7YA,0
https://www.youtube.com/watch?v=6_im_hGxGRk,0
https://www.youtube.com/watch?v=b91vrgVY-ZQ,0
https://www.youtube.com/watch?v=52ubXjlVzUY,0
https://www.youtube.com/watch?v=XHb7g6yuGgE,0
https://www.youtube.com/watch?v=rH1D_3G56DY,0
https://www.youtube.com/watch?v=-0zoWMSEOGg,0
https://www.youtube.com/watch?v=WRzIuC2MKOU,0
https://www.youtube.com/watch?v=foLlul8Tl3E,0
https://www.youtube.com/watch?v=3iaDrpKdaIc,0
https://www.youtube.com/watch?v=qrIh-ZHN4-E,0
https://www.youtube.com/watch?v=mpZWt5pGKZ8,0
https://www.youtube.com/watch?v=vbph9F_pRNI,0
https://www.youtube.com/watch?v=wbzD04leeLI,0
https://www.youtube.com/watch?v=MC5h-ShR-S8,0
https://www.youtube.com/watch?v=dp8IaLrZpGs,0
https://www.youtube.com/watch?v=97Gh93Daio0,0
